ID,name,locale
1,阿森纳,zh
2,阿斯顿维拉,zh
3,伯恩茅斯,zh
4,布莱顿,zh
5,伯恩利,zh
6,切尔西,zh
7,水晶宫,zh
8,埃弗顿,zh
9,莱斯特城,zh
10,利物浦,zh
11,曼城,zh
12,曼联,zh
13,纽卡斯尔联,zh
14,诺里奇城,zh
15,谢菲尔德联,zh
16,南安普顿,zh
17,热刺,zh
18,沃特福德,zh
19,西汉姆联,zh
20,狼队,zh
1,阿森纳,de
2,阿斯顿维拉,de
3,伯恩茅斯,de
4,布莱顿,de
5,伯恩利,de
6,切尔西,de
7,水晶宫,de
8,埃弗顿,de
9,莱斯特城,de
10,利物浦,de
11,曼城,de
12,曼联,de
13,纽卡斯尔联,de
14,诺里奇城,de
15,谢菲尔德联,de
16,南安普顿,de
17,热刺,de
18,沃特福德,de
19,西汉姆联,de
20,狼队,de
